급여대상,사료 종목,브랜드,이름,가격,용량,사료 형태,제조국,유기농여부,특이사항,칼로리(100g),특정종대상,동물크기,급여연령,Mainflavor,Allergy,주원료,키블크기,금기대상,특정급여시기,질환,처방적용대상효능,수분,조단백질,조지방,조회분,조섬유,칼슘,인,탄수화물,오메가3,오메가6
강아지,일반식,네츄럴코어(Natural Core),ECO 7 센시티브솔루션(양고기),15000,1000,건식(반건식),대한민국,Y,,340,전체,무관,0~max,양,"양, 곡류, 콩, 아마","양고기, 통보리, 현미, 녹두, 해바리기씨, 고구마, 감자, 닭기름, 건조크릴, 완두, 생선오일, 통아마씨, 비트펄프, 유카시디게라추출물, 메티오닌, 통귀리, 천일염, 프락토올리고당, 홍삼, 인산칼슘, 씨벅턴열매, 달맞이꽃씨, 고수, 당근, 시금치, 유산균, 비타민, 미네랄",7~7,-1,무관,-1,-1,0,25,11.4,9.1,6.8,1,0.5,-1,0.6,3.4
강아지,일반식,네츄럴코어(Natural Core),ECO 8 멀티프로테인,35000,2400,건식(반건식),대한민국,Y,,365,전체,무관,0~max,"연어, 양, 닭","콩, 아마","가수분해연어, 가수분해양고기, 가수분해닭고기, 고구마, 감자, 녹두, 해바라기씨, 닭기름, 통아마씨, 완두, 생선오일, 건조크릴새우, 유카시디게라추출물, 천일염, 프락토올리고당, 이눌린, 메티오닌, 홍삼, 씨벅턴열매, 달맞이꽃씨, 당근, 고수, 시금치, 인산칼슘, 유산균, 비타민, 미네랄",9~9,-1,무관,-1,-1,0,29.6,15.9,11.4,9.1,1,0.5,-1,1.4,3.2
강아지,일반식,네츄럴코어(Natural Core),ECO 9a 시니어(오리+고구마),15000,1000,건식(반건식),대한민국,Y,,350,전체,무관,85~max,"오리, 고구마","오리, 곡류, 콩, 아마","오리고기, 현미, 고구마, 통보리, 녹두, 해바라기씨, 완두콩, 통아마씨, 생선오일, 유카시디게라추출물, 홍삼, 천일염, 프락토올리고당, 이눌린, 메티오닌, 상어연골추출물, 씨벅턴열매, 달맞이꽃씨, 당근, 고수, 시금치, 글루코사민, 오리연골, 인산칼슘, 유산균, 비타민C, 비타민E, 비타민A, 비타민D3, 비타민B1, 비타민B2, 비타민B6, 비타민B12, 비오틴, 엽산, 판토텐산, 나이아신, 철, 아연, 구리, 셀레늄, 아이오딘, 망간",9~9,-1,무관,-1,-1,0,21.6,9.1,9.1,6.8,1,0.5,-1,0.4,2.9
강아지,일반식,네츄럴코어(Natural Core),ECO 9b 시니어(연어+고구마),15000,1000,건식(반건식),대한민국,Y,,330,전체,무관,85~max,"연어, 고구마","연어, 오리, 콩, 곡류, 유제품","연어, 현미, 통기장쌀, 녹두, 해바라기씨, 통보리, 완두, 고구마, 통아마씨, 닭기름, 치즈, 생선오일, 건조크릴새우, 비트펄프, 오리고기, 통귀리, 유카시디게라추출물, 메티오닌, 천일염, 프락토올리고당, 이눌린, 홍삼, 인산칼슘, 씨벅턴열매, 달맞이꽃씨, 당근, 고수, 시금치, 유산균, 비타민, 미네랄",9~9,-1,무관,-1,-1,0,23.3,7.8,8.9,6.7,1.1,0.6,-1,0.7,2.7
강아지,일반식,네츄럴코어(Natural Core),ECO 10 베지테리언,14000,1000,건식(반건식),대한민국,Y,,350.8,전체,무관,0~max,채소,"곡류, 콩, 아마","고구마, 현미, 통보리, 해바라기씨분말, 콩단백질, 콩분말, 통아마씨, 완두콩, 카놀라유, 메티오닌, 통귀리, 천일염, 인산칼슘, 유카시디게라추출물, 프락토올리고당, 이눌린, 호로파씨, 씨벅턴열매, 달맞이꽃씨, 당근, 고수, 시금치, 유산균, 블루베리, 비타민, 미네랄",9~9,-1,무관,-1,-1,0,24.4,11.1,8.9,6.7,1,0.4,-1,0.4,2.7
강아지,일반식,네츄럴코어(Natural Core),에코밸류S2 양고기,12000,1000,건식(반건식),대한민국,N,,319,전체,무관,0~max,양,"닭, 곡류","닭고기분말, 가수분해양고기, 현미, 고구마, 감자, 통아마씨, 닭기름, 비트펄프, 유카시디게라추출물, 생선오일, 홍삼, 천일염, 프락토올리고당, 씨벅턴열매, 달맞이꽃씨, 당근, 고수, 시금치, 타우린, 메티오닌, 인산칼슘, 유산균, 비타민C, 비타민E, 비타민A, 비타민D3, 비타민B1, 비타민B2, 비타민B6, 비타민B12, 비오틴, 엽산, 판토텐산, 나이아신, 철, 아연, 구리, 셀레늄, 아이오딘, 망간",8~8,-1,무관,-1,-1,0,27.3,13.6,9.1,6.8,1,0.5,-1,-1,-1
강아지,일반식,네츄럴코어(Natural Core),에코밸류S1 멀리프로테인,10000,1000,건식(반건식),대한민국,N,,333,전체,무관,0~max,"닭, 연어","곡류, 아마","가수분해닭고기, 가수분해연어, 닭고기분말, 현미, 고구마, 감자, 통아마씨, 닭기름, 비트펄프, 유카시디게라추출물, 생선오일, 홍삼, 천일염, 프락토올리고당, 타우린, 씨벅턴열매, 달맞이꽃, 당근, 고수, 시금치, 메티오닌, 인산칼슘, 유산균, 비타민, 미네랄",8~8,-1,무관,-1,-1,0,27.3,13.6,6.8,4.6,1,0.5,-1,-1,-1
강아지,일반식,네츄럴코어(Natural Core),강아지 베네 M32,54000,7200,건식(반건식),대한민국,N,,333,전체,무관,0~max,"오리, 닭","닭, 아마","가수분해오리고기, 닭고기분말, 현미, 고구마, 감자, 닭기름, 비트펄프, 통아마씨, 유카시디게라추출물, 생선오일, 홍삼, 천일염, 프락토올리고당, 타우린, 씨벅턴열매, 달맞이꽃씨, 당근, 고수, 시금치, 메티오닌, 인산칼슘, 유산균, 비타민, 미네랄",8~16,-1,무관,-1,-1,0,26.7,13.3,8.9,6.7,1,0.4,-1,-1,-1
강아지,일반식,네츄럴코어(Natural Core),강아지 베네 M50,20000,2000,건식(반건식),대한민국,N,,333,전체,무관,0~max,"닭, 연어","곡류, 아마","가수분해닭고기, 가수분해연어, 현미, 고구마, 감자, 통아마씨, 닭기름, 비트펄프, 유카시디게라추출물, 생선오일, 홍삼, 천일염, 프락토올리고당, 타우린, 씨벅턴열매, 달맞이꽃씨, 당근, 고수, 시금치, 메티오닌, 인산칼슘, 유산균, 각종비타민, 비타민c, 비타민e, 비타민a, 비타민D3, 비타민B1, 비타민B2, 비타민B6, 비타민B12, 비오틴, 엽산, 판토텐산, 나이아신, 철, 아연, 구리, 셀레늄, 아이오딘, 망간",8~16,-1,무관,-1,-1,0,26.7,13.3,6.7,5,1.1,1.3,-1,-1,-1
강아지,일반식,네츄럴코어(Natural Core),HERB1 램,15000,1200,건식(반건식),대한민국,N,,319,전체,무관,0~max,양,"닭, 콩, 곡류","가수분해양고기, 통보리, 현미, 녹두, 해바라기씨, 옥수수, 완두콩, 고구마, 닭기름, 통아마씨, 닭고기, 생선오일, 건조크릴새우, 사탕무펄프, 유카시디게라추출물, 천일염, 통귀리, 프락토올리고당, 메티오닌, 홍삼, 씨벅턴열매, 달맞이꽃씨, 당근, 고수, 시금치, 인산칼슘, 유산균, 비타민, 미네랄",9~9,-1,무관,-1,-1,0,25.6,13.3,8.9,6.7,1,0.4,-1,-1,-1
강아지,일반식,네츄럴코어(Natural Core),HERB2 살몬,54000,6000,건식(반건식),대한민국,N,,309,전체,무관,0~max,연어,"곡류, 아마","가수분해연어, 현미, 통보리, 녹두, 해바라기씨, 고구마, 완두콩, 감자, 닭기름, 통아마씨, 생선분말, 생선오일, 건조크릴, 사탕무펄프, 유카시디게라추출물, 건조크릴, 사탕무펄프, 유카시디게라추출물, 천일염, 통귀리, 프락토올리고당, 메티오닌, 홍삼, 씨벅턴열매, 달맞이꽃씨, 당근, 고수, 시금치, 인산칼슘, 유산균, 비타민, 미네랄",9~9,-1,무관,-1,-1,0,25.6,11.1,8.9,6.7,1,0.4,-1,-1,-1
강아지,일반식,네츄럴코어(Natural Core),HERB3 터키,59000,6000,건식(반건식),대한민국,Y,,326,전체,무관,0~max,칠면조,"곡류, 콩, 아마","가수분해칠면조고기, 통보리, 현미, 녹두, 해바라기씨, 고구마, 감자, 닭기름, 건조크릴새우, 완두, 생선오일, 통아마씨, 메티오닌, 유카시디게라추출물, 이눌린, 통귀리, 천일염, 프락토올리고당, 홍삼, 씨벅턴열매, 달맞이꽃씨, 고수, 당근, 시금치, 인산칼슘, 유산균, 비타민, 미네랄",9~9,-1,무관,-1,-1,0,25.6,13.3,8.9,6.7,1,0.4,-1,-1,-1
강아지,일반식,네츄럴코어(Natural Core),소프트델리1 닭고기,15000,800,건식(반건식),대한민국,Y,,300.3,전체,무관,0~max,닭,"곡류, 콩, 유제품","가수분해닭고기, 현미, 보리, 고구마, 녹두, 해바라기씨, 감자, 완두, 아마씨, 콩분말, 닭기름, 어유, 인산칼슘, 치즈, 천일염, 귀리, 프락토올리고당, 이눌린, 유카추출물, 메티오닌, 홍삼, 인삼농축분말, 유산균, 씨벅턴열매, 달맞이꽃씨, 고수, 당근, 시금치, 비타민, 미네랄",10~10,-1,무관,-1,-1,0,22,9.2,9.2,6.9,1,0.5,-1,-1,-1
강아지,일반식,네츄럴코어(Natural Core),소프트델리2 살몬,15000,800,건식(반건식),대한민국,Y,,300.3,전체,무관,0~max,연어,"곡류, 유제품","가수분해연어, 현미, 귀리, 녹두, 치즈, 참깨, 닭기름, 유청분말, 글리세린, 들깨, 프락토올리고당, 인산칼슘, 유카추출물, 홍삼, 천일염, 알긴산, 씨벅턴열매, 달맞이꽃씨, 고수, 당근, 시금치, 비타민, 미네랄",10~10,-1,무관,-1,-1,0,20.8,11.6,9.2,9.4,1,0.5,-1,-1,-1
강아지,일반식,네츄럴코어(Natural Core),소프트델리3 터키,15000,800,건식(반건식),대한민국,Y,,300.3,전체,무관,0~max,칠면조,"곡류, 유제품","가수분해칠면조, 현미, 귀리, 치즈, 녹두, 참깨, 닭기름, 유청분말, 글리세린, 들깨, 프락토올리고당, 인산칼슘, 유카추출물, 홍삼, 천일염, 알긴산, 씨벅턴열매, 달맞이꽃씨, 고수, 당근, 시금치, 비타민, 미네랄",10~10,-1,무관,-1,-1,0,20.8,11.6,9.3,8.1,1,0.5,-1,-1,-1
강아지,일반식,네츄럴코어(Natural Core),소프트델리5 피부 & 면역,17000,800,건식(반건식),대한민국,Y,피부면역강화,300.3,전체,무관,0~max,오리,"오리, 곡류, 유제품","오리고기, 현미, 귀리, 치즈, 닭기름, 녹두, 참깨, 들깨, 유청분말, 글리세린, 프락토올리고당, 인산칼슘, 유카추출물, 홍삼, 천일염, 알긴산, 씨벅턴열매, 달맞이꽃씨, 고수, 당근, 시금치, 비타민, 미네랄",12~12,-1,무관,-1,-1,0,20.8,11.6,9.3,8.1,1.2,1.4,-1,0.8,2.8
강아지,일반식,네츄럴코어(Natural Core),RU그레인프리 비프 & 닭고기,14000,1000,건식(반건식),호주,N,,350,전체,무관,0~max,"소, 닭","소, 닭, 어류, 콩, 아마","소고기, 닭고기, 완두콩, 감자, 가금류오일, 타피오카, 카놀라분말, 생선분말, 아마씨, 비트펄프, 어유, 정제염, 천연프리바이오틱스, 유산균, 유카시디게라추출물, 타우린, 비타민E, 로즈마리추출물, 루테인, 다시마, 비타민, 미네랄",11.5~11.5,-1,무관,-1,-1,0,26.7,15.6,11.1,6.1,1.1,0.9,-1,0.6,2.2
강아지,일반식,네츄럴코어(Natural Core),에코유기농 퍼피,58000,7000,건식(반건식),대한민국,Y,,379,전체,무관,0~2,"양, 곡류","곡류, 콩, 아마","가수분해양고기, 녹두, 해바라기씨, 현미, 통보리, 완두콩, 닭기름, 통기장쌀, 고구마, 통아마씨, 닭고기, 생선오일, 유카시디게라추출물, 통귀리, 천일염, 프락토올리고당, 메티오닌, 홍삼, 이눌린, 인산칼슘, 유산균, 씨벅턴열매, 달맞이꽃씨, 당근, 고수, 시금치, 비타민, 미네랄",6.5~6.5,-1,무관,-1,-1,0,31.8,17.1,9.1,6.8,1,0.5,-1,-1,-1
강아지,일반식,네츄럴코어(Natural Core),센시티브솔루션 연어,15000,1000,건식(반건식),대한민국,Y,,309,전체,무관,0~max,"연어, 채소, 곡류","연어, 오리, 곡류,  쌀, 과일","연어, 고구마, 통보리, 오리고기, 현미, 해바라기씨, 닭기름, 들깨, 참깨, 통기장쌀, 참치, 통아마씨, 통귀리, 인산칼슘, 천연향미제, 이소말토올리고당, 천일염, 알긴산올리고당, 염화콜린, 당근, 미나리, 시금치, 씨벅턴열매, 토마토, 홍삼, 마늘, 유카시디게라추출물, 유산균, 비타민, 미네랄",8~16,-1,무관,-1,-1,0,25.6,13.3,8.9,6.7,1.1,0.6,-1,-1,-1
강아지,일반식,네츄럴코어(Natural Core),센시티브솔루션 양고기,15000,1000,건식(반건식),대한민국,Y,,309,전체,무관,0~max,양,"쌀, 곡류, 과일","가수분해양고기, 통기장쌀, 통보리, 해바라기씨분말, 고구마, 통현미, 닭기름, 통아마씨, 이소말토올리고당, 인산칼슘, 천연향미제, 통귀리, 홍삼, 천일염, 키토산올리고당, 미나리, 당근, 시금치, 토마토, 유카시디게라추출물, 염화콜린, 유산균, 비타민, 미네랄",8~16,-1,무관,-1,-1,0,25,11.4,9.1,6.8,1,0.5,-1,-1,-1
강아지,일반식,네츄럴코어(Natural Core),오가닉 시니어(오리&고구마),32000,2400,건식(반건식),대한민국,Y,,344,전체,무관,85~max,"오리, 고구마","오리, 곡류, 아마","오리고기, 고구마, 통보리, 통현미, 해바라기씨분말, 닭기름, 통아마씨, 오리연골, 천연향미제, 이소말토올리고당, 귀리, 당근, 파슬리, 시금치, 천일염, 키토산올리고당, 인산칼슘, 유산균, 유카시디게라추출물, 염화콜린, 홍삼, 황산콘드로이틴, 비타민, 미네랄",8~16,-1,무관,-1,-1,0,21.6,9.1,9.1,6.8,1,0.5,-1,-1,-1
강아지,일반식,네츄럴코어(Natural Core),에코유기농 오리고기,65000,7000,건식(반건식),대한민국,Y,,319,전체,무관,0~max,오리,"오리, 콩, 곡류","오리고기, 고구마, 통밀, 통보리, 통현미, 닭기름, 해바라기씨분말, 콩, 들깨, 이소말토올리고당, 인산칼슘, 천연향미제, 통아마씨, 알팔파, 천일염, 통귀리키토산올리고당, 염화콜린, 홍삼, 유산균, 당근, 미나리, 시금치, 비타민, 미네랄",8~17,-1,무관,-1,-1,0,27.3,13.6,9.1,6.8,1,0.5,-1,-1,-1
강아지,일반식,네츄럴코어(Natural Core),허브 홀리스틱,50000,6000,건식(반건식),대한민국,Y,,364,전체,무관,0~max,연어,"연어, 콩, 곡류, 아마, 과일","연어, 통곡물, 보리, 현미, 닭기름, 비트펄프, 들깨, 콩분말, 우유분말, 천연향미제, 인산칼슘, 키토산올리고당, 천일염, 아마씨, 염화콜린, 알긴산올리고당, 당근, 귀리, 블루베리, 토마토, 유산균, 유카시디게라추출물, 미나리, 시금치, 로즈마리, 비타민, 미네랄",8~9,-1,무관,-1,-1,0,26.1,13.6,9.1,6.8,1,0.5,-1,-1,-1
강아지,일반식,네츄럴코어(Natural Core),에코유기농 양고기,60000,7000,건식(반건식),대한민국,Y,,350,전체,무관,0~max,양,"곡류, 콩, 닭","가수분해양고기, 통보리, 현미, 녹두, 해바라기씨, 옥수수, 완두콩, 고구마, 닭기름, 통아마씨, 닭고기, 생선오일, 건조크릴새우, 사탕무펄프, 유카시디게라추출물, 천일염, 통귀리, 프락토올리고당, 메티오닌, 홍삼, 씨벅턴열매, 달맞이꽃씨, 당근, 고수, 시금치, 인산칼슘, 유산균, 비타민, 미네랄",0,-1,무관,-1,-1,0,27.3,13.6,9.1,6.8,1,0.5,-1,-1,-1
강아지,일반식,카나간(CANAGAN),프리런 치킨 for 독 전연령,84000,6000,건식(반건식),영국,N,,361.5,전체,무관,0~max,닭,"닭, 계란, 콩, 과일","닭고기, 고구마, 완두콩, 감자완두콩단백질, 알팔파, 닭지방, 건조란, 닭고기그레이비, DHA연어오일, 미네랄&비타민, 글루코사민, 사과, 당근, 시금치, 차전자껍질, 해초, 프락토올리고당, 콘드로이틴, 카모마일, 페퍼민트, 마리골드, 크랜베리, 아니스의열매&호로파씨",10~15,-1,무관,-1,-1,0,36.7,18.9,10,3.9,2,1.6,-1,1,3.1
강아지,일반식,카나간(CANAGAN),프리런 치킨 for 독 노령&비만견,40000,2000,건식(반건식),영국,N,,347,전체,대형,0~max,닭,"닭, 콩, 과일, 계란","닭고기, 고구마, 완두콩, 감자완두콩단백질, 알팔파, 닭지방, 건조란, 닭고기그레이비, 미네랄, 비타민, 글루코사민, 사과, 시금치, 차전자껍질, 해초, 프락토올리고당, 콘드로이틴, 카모마일, 페퍼민트, 마리골드, 크랜베리, 아니스의열매&호로파씨",13~13,-1,무관,-1,-1,0,36.1,15.3,10.4,3.8,2.2,1.6,-1,-1,2.4
강아지,일반식,카나간(CANAGAN),스코티시 살몬 for 독,48000,1500,건식(반건식),영국,N,,363.3,스코티시,무관,0~max,"연어, 어류","연어, 어류, 콩, 과일","연어, 고구마, 청어, 완두콩, 감자, 흰살생선, 건어, DHA연어오일, 송어, 알팔파, 해바라기유, 연어스톡, 완두콩단백질, 미네랄, 비타민, 사과, 당근, 시금치, 차전자껍질, 해초, 프락토올리고당, 콘드로이틴, 카모마일, 페퍼민트, 마리골드, 크랜베리, 아니스의열매&호로파씨",15~15,-1,무관,-1,-1,0,36.7,18.9,10,3.9,2,1.6,-1,1,3.1
강아지,일반식,내추럴발란스(Natural Balance),LID감자&오리고기 퍼피 포뮬라(LID.Potato & Duck & Dry Puppy Formula),24000,1360,건식(반건식),미국,N,,345,전체,무관,0~12,"오리, 감자","오리, 아마","감자, 오리고기분말, 오리고기, 건조감자, 카놀라오일, 혼합토코페롤, 아마씨, 감자단백질, 천연향, 연어오일, 혼합토코페롤보존, 염화칼륨, 소금, DL-메티오닌, 염화콜린, 비타민류합제, 비타민C, 비타민E, 타우린, 미량광물질류합제, 칼슘, 인, 구연산, 보존, 혼합토코페롤, 로즈마리추출물",8~14,-1,무관,-1,-1,0,23.3,11.1,-1,4.4,0.9,0.7,-1,0.6,1.9
강아지,일반식,내추럴발란스(Natural Balance),울트라 프리미엄 닭고기 캔 포뮬라(Ultra premium Chicken Canned dog Formula),2250,85,습식,미국,N,,128,전체,무관,0~max,"닭, 감자, 채소","닭, 곡류","닭고기, 닭고기육즙, 닭고기간, 현미, 당근, 귀리겨, 감자, 닭고기분말, 탈수감자, 비타민C, 비타민E, 미량광물질류합제, 칼슘, 인, 카놀라오일, 구아검, 건조다시마, 염화칼륨, 천연훈연향, 카라기난, 생선오일, 파슬리, 염화콜린, 유카시디게라추출물, 로즈마리추출물",0,-1,무관,-1,-1,0,36.4,22.7,-1,6.8,1.2,1,-1,1.4,5
강아지,일반식,내추럴발란스(Natural Balance),울트라 프리미엄 W.B.H. 닭&오리 퍼피캔 포뮬라,2250,85,습식,미국,N,,133,전체,무관,0~12,"닭, 오리","닭, 연어, 곡류, 계란","닭고기육즙, 닭고기, 닭고기간, 오리고기, 연어, 현미, 건조완두콩, 당근, 감자, 카놀라오일, 건조계란, 닭고기분말, 청어오일, 귀리껍질, 완두콩섬유질, 건조토마토포마스, 비타민합제, 비타민C, 비타민E, 구아검, 미량광물질류합제, 칼슘, 인, 염화칼륨, 천연훈연향, 소금, DL-메티오닌, 카라기난, L-트립토판, 염화콜린, 건조시금치, 건조다시마, 크랜베리, 블루베리, L-라이신염산염, 유카시디게라추출물, 로즈마리추출물",0,-1,무관,-1,-1,0,270.5,36.4,-1,6.8,2.3,1.1,-1,1.4,5
강아지,일반식,내추럴발란스(Natural Balance),LID 연어&현미 퍼피 포뮬라,54000,5030,건식(반건식),미국,N,,374,전체,무관,1.5~12,"연어, 어류, 곡류","연어, 어류, 곡류, 쌀, 아마, 효모","연어, 청어분말, 현미, 쌀싸라기, 쌀겨, 오트밀, 해바라기오일, 혼합토코페롤보존, 아마씨, 건조맥주효모, 천연향, 생선오일, 혼합토코페롤보존, 소금, 탄산칼슘, L-라이신염산염, 염화콜린, 타우린, DL-메티오닌, 염화칼륨, 비타민, 비타민E, 나이아신보충, D-칼슘판토텐산, 비타민A보충, 리보플라빈보충, 티아민모노니트레이트, 비타민D3, 피리독신염산, 엽산, 비오틴, 비타민B12, L-트레오닌, 미네랄, 아연단백, 황산아연, 황산철, 철단백질산염, 망간단백, 셀레나이트나트륨, 요오드산칼슘, 인산칼슘, 로즈마리추출물, 녹차추출물, 스피어민트추출물",8~8,-1,무관,-1,-1,0,26.7,13.3,-1,5,1.3,1.1,-1,1.1,3.3
강아지,일반식,내추럴발란스(Natural Balance),LID 닭고기&현미 퍼피 포뮬라,14500,1360,건식(반건식),미국,N,,363,전체,무관,1.5~12,"닭, 곡류","닭, 곡류, 쌀, 효모","닭고기, 닭고기분말, 현미, 쌀싸라기, 쌀겨, 닭고기지방, 혼합토코페롤보존, 건조맥주효모, 천연향, 아마씨, 멘헤든어유, 혼합토코페롤보존, 타우린, 소금, 염화칼륨, DL-메티오닌, 인산이칼슘, 비타민, 비타민E보충, 나이아신보충, D-칼슘, 판토텐산, 비타민A보충, 리보플라빈보충, 티아민모노니트레이트, 비타민D3보충, 피리독신염산, 엽산, 비오틴, 비타민B12, 미네랄, 아연단백, 황산아연, 황산철, 철단백질산염, 황산구리, 구리단백, 황산망간, 망간단백, 셀레나이트나트륨, 요오드산칼슘, L-테아닌, 염화콜린, 구연산, 로즈마리추출물",8~8,-1,무관,-1,-1,0,26.7,13.3,-1,4.4,1.3,1.1,-1,0.6,2.2
강아지,일반식,내추럴발란스(Natural Balance),야채 도그 포뮬라,18500,1360,건식(반건식),미국,N,,348,전체,무관,0~12,채소,"곡류, 콩","현미, 귀리알곡, 보리, 완두콩, 감자단백질, 카놀라오일, 혼합토코페롤보존, 감자, 인산이칼슘, 건조토마토파머스, 천연향, 탄산칼슘, 염화칼륨, 염화콜린, 타우린, 미량광물질합제, 칼슘, 인, 소금, 비타민C, 비타민E, 아마씨, 시금치, 파슬리, 크랜베리, L-라이신염산염, 구연산, 혼합토코페롤, 보존, 유카시디게라추출물, 건조다시마, 로즈마리추출물",14~14,-1,무관,-1,-1,0,20,8.9,-1,4.4,0.9,0.6,-1,0.3,2.2
강아지,일반식,내추럴발란스(Natural Balance),오리지날 울트라 그레인프리 닭고기 퍼피 포뮬라,20000,1360,건식(반건식),미국,N,,369,전체,무관,0~2,"닭, 완두콩","닭, 콩, 아마","닭고기, 완두콩, 닭고기분말, 렌즈콩, 닭고기지방, 혼합토코페롤, 고구마, 아마씨, 완두분말, 천연향, 건조계란, 청어오일, 혼합토코페롤, 건조토마토포마스, 소금, 염화칼슘, 인산이칼슘, 타우린, DL-메티오닌, 건조사과, 건조크렌베리, 건조시금치, 건조호박, 건조당근, 미네랄, 아연프로테인, 황산아연, 철황산염, 철단백질화합물, 황산구리, 구리단백질화합물, 황산망간, 망간단백질레이트, 칼슘요오데이트, 소듐셀레나이트, 콜린클로라이드, 비타민, 비타민E, 니아신, D-칼슘판토테네이트, 비타민A, 리보프라빈, 티아민모노니트레이트, 비타민D3, 피리독신히드로클로라이드, 엽산, 비옽틴, 비타민B12, L-아스코르빌-2-폴리포스페이트, 비타민C의공급원, 젖산, 구연산, L-카르니틴, 유카시디게라추출물, 로즈마리추출물",8~8,-1,무관,-1,-1,0,31.1,17.8,-1,5.6,1.3,1,-1,2.7,1.3
강아지,일반식,나우(now),그레인프리 스몰브리드 어덜트 DF,29570,2700,건식(반건식),캐나다,N,구강관리 냄새제거 눈물개선 눈건강 면역력강화 소화/장기능개선,-1,전체,무관,13~108,"칠면조, 오리, 연어","칠면조, 연어, 오리, 계란, 콩, 아마, 과일","칠면조, 건조계란, 완두콩, 완두분말, 감자, 감자분말, 천연향, 아마씨, 사과, 카놀라오일, 연어, 오리, 코코넛오일, 탄산칼슘, 제이인산칼슘, 토마토, 알팔파, 당근, 호박, 고구마, 스쿼시, 바나나, 블루베리, 크랜베리, 블랙베리, 석류, 파파야, 렌틸콩, 브로콜리, 건조치커리뿌리, 삼인산나트륨, 염화나트륨, 염화칼륨, 염화콜린, 비타민합제, 비타민A, 비타민D3, 비타민E, 나이아신, L-아스코빌-2-폴리인산, D-판토텐산칼슘, 티아민모노니트레이트, 베타카로틴, 리보플라빈, 염산피리독신, 엽산, 비오틴, 비타민B12, 미량광물질류합제, 징크메치오닌화합물, 아연단백질화합물, 철단백질화합물, 구리단백질화합물, 산화아연, 망간단백질화합물, 황산동, 황산제일철, 요오드산칼슘, 산화망간, 셀레늄이스트, 타우린, DL-메티오닌, L-라이신, 건조락토바실러스애시도필러스, 건조엔테로코커스패싱움, 파슬리, 페퍼민트, 녹차추출물, L-카르니틴, 건조로즈마리",12~12,-1,무관,-1,-1,0,28.9,17.8,10,6.7,1.1,0.6,-1,1.6,3.3
강아지,일반식,나우(now),그레인프리 스몰브리드 시니어 DF,28930,2700,건식(반건식),캐나다,N,고관절 심장건강 인레벨조절,340.6,전체,무관,108~max,"칠면조, 오리, 연어","칠면조, 연어, 오리, 계란, 콩, 아마, 과일","칠면조, 건조계란, 완두콩, 완두분말, 감자, 감자분말, 천연향, 아마씨, 사과, 카놀라오일, 연어, 오리, 코코넛오일, 탄산칼슘, 제이인산칼슘, 토마토, 알팔파, 당근, 호박, 고구마, 스쿼시, 바나나, 블루베리, 크랜베리, 블랙베리, 석류, 파파야, 렌틸콩, 브로콜리, 건조치커리뿌리, 삼인산나트륨, 염화나트륨, 염화칼륨, 염화콜린, 비타민합제, 비타민A, 비타민D3, 비타민E, 나이아신, L-아스코빌-2-폴리인산, D-판토텐산칼슘, 티아민모노니트레이트, 베타카로틴, 리보플라빈, 염산피리독신, 엽산, 비오틴, 비타민B12, 미량광물질류합제, 징크메치오닌화합물, 아연단백질화합물, 철단백질화합물, 구리단백질화합물, 산화아연, 망간단백질화합물, 황산동, 황산제일철, 요오드산칼슘, 산화망간, 셀레늄이스트, 타우린, DL-메티오닌, L-라이신, 건조락토바실러스애시도필러스, 건조엔테로코커스패싱움, 파슬리, 페퍼민트, 녹차추출물, L-카르니틴, 건조로즈마리",7~10,-1,무관,-1,-1,0,26.7,12.2,10,8.9,1.3,0.7,-1,-1,-1
강아지,일반식,나우(now),그레인프리 스몰브리드 시니어,38880,2720,건식(반건식),캐나다,N,,359,전체,무관,108~max,"칠면조, 오리, 연어","칠면조, 연어, 오리, 계란, 콩, 아마, 과일","칠면조, 감자가루, 사과, 완두콩섬유, 완두콩, 감자, 토마토, 알파파, 카놀라유, 연어, 오리, 야자유, 통건조란, 아마인, 당근, 호박, 바나나, 블루베리, 크랜베리, 라즈베리, 블랙베리, 파파야, 파인애플, 자몽, 렌즈콩, 브로콜리, 시금치, 커티지치즈, 알팔파새싹, 다시마, 제2인산칼슘, 레시틴, 염화나트륨, 염화칼륨, 비타민E보충제, L-아스크로빌-2-폴리포스페이트, 니코틴산, 이노시톨, 비타민A보충제, 질산티아민, d-판토텐산칼슘, 염산피리독신, 리보플라빈, 베타카로틴, 비타민D3보충제, 엽산, 비오틴, 미네랄, 아연단백질화합물, 황산제1철, 산화아연, 철단백질화합물, 황산구리, 구리단백질화합물, 망간단백질화합물, 산화망간, 요오드산칼슘, 셀레늄효모, 타우린, DL-메티오닌, L-리진, 글루코사민염산염, 말린치커리뿌리, 말린락토바실러스아시도필러스발효제품, 말린엔테로코커스패시엄발효제품, 말린검정곰팡이발효제품, 말린누룩곰팡이발효제품, 효모추출물, 유카쉬디게라추출물, 황산콘드로이친, 금잔화, L-카르니틴, 말린로즈메리",7~10,-1,무관,-1,-1,0,26.7,12.2,10,8.9,1.3,0.7,-1,-1,-1
